patent,abstract,title
D0673468,,"Bottle probe",
D0673469,,"Plumb line",
D0673470,,"Plumb line",
D0673471,,"In-vehicle navigation device",
D0673472,,"In-vehicle navigation device",
D0673473,,"Personal alert safety system",
D0673474,,"Signal lamp",
D0673475,,"Signal lamp",
D0673476,,"Indicator light tower",
D0673477,,"Watchband and clip for mounting of an electronic display and sound reproduction device",
D0673478,,Bracelet,
D0673479,,"Jewelry pendant to hold a pharmaceutical bottle",
D0673480,,"Slide for slide fastener",
D0673481,,"Tag and button combination",
D0673482,,"Mars rover",
D0673483,,"Body portion of an automobile",
D0673484,,"Motor vehicle, toy and/or replica",
D0673485,,"Rear portion of an automobile",
D0673486,,"Grille of a recreational vehicle",
D0673487,,"Instrument cluster of a motor vehicle",
D0673488,,"Portion of a vehicle interior",
D0673489,,"Portions of a truck cab",
D0673490,,"Floor mats for automobile",
D0673491,,"Vehicle floor mat having a lower winter mat and a removable upper summer mat",
D0673492,,"Wheel rim",
D0673493,,"Vehicle wheel rim",
D0673494,,"Vehicle wheel rim",
D0673495,,"Mirror cover",
D0673496,,"Center console box for automobile",
D0673497,,"Fuel cartridge",
D0673498,,"Stand for hair clipper",
D0673499,,"Electric connector",
D0673500,,Connector,
D0673501,,"Optical fiber connector",
D0673502,,"Optical fiber connector",
D0673503,,"Power strip",
D0673504,,"USB power adaptor",
D0673505,,"Connector for flexible printed circuit board",
D0673506,,"Two socket outlet guard",
D0673507,,"Protective relay",
D0673508,,"Protective relay",
D0673509,,"Contactor housing",
D0673510,,"Load control device having a nightlight",
D0673511,,"Operating panel for elevator",
D0673512,,"Remote controller",
D0673513,,"Break fuse",
D0673514,,"Heat dissipation fan",
D0673515,,"Component of an electronic device",
D0673516,,"Novelty magnet",
D0673517,,"Radio and speaker unit",
D0673518,,Headphone,
D0673519,,Headphone,
D0673520,,Headphone,
D0673521,,Headphone,
D0673522,,Headset,
D0673523,,"Headset binaural",
D0673524,,"Monoaural headset",
D0673525,,"Speaker box",
D0673526,,"Loudspeaker housing",
D0673527,,Loudspeaker,
D0673528,,"Mobile device dock",
D0673529,,"Remote controller",
D0673530,,"Ear bud adapter",
D0673531,,Headphone,
D0673532,,Headphone,
D0673533,,"RFID tag housing",
D0673534,,Antenna,
D0673535,,"Multi-band antenna",
D0673536,,"Satellite mounting pole",
D0673537,,"Cellular phone",
D0673538,,"Cover of an electronic device having surface ornamentation",
D0673539,,Case,
D0673540,,Case,
D0673541,,Case,
D0673542,,Case,
D0673543,,"Case for electronic device",
D0673544,,"Case for electronic device",
D0673545,,"Case for electronic device",
D0673546,,"Case for electronic device",
D0673547,,"Case for electronic device",
D0673548,,"Case for electronic device",
D0673549,,"Case for electronic device",
D0673550,,"Case for electronic device",
D0673551,,"Case for electronic device",
D0673552,,"Case for electronic device",
D0673553,,"Case for electronic device",
D0673554,,"Electronic device case with beveled edge",
D0673555,,"Screen of a hands-free car kit",
D0673556,,"Notebook computer",
D0673557,,"Laptop computer",
D0673558,,"Laptop computer",
D0673559,,"Notebook computer",
D0673560,,"Tablet computer",
D0673561,,"Tablet computer",
D0673562,,"Electronic dictionary with speech function",
D0673563,,"Handheld portable computing device",
D0673564,,Downloader,
D0673565,,Scanner,
D0673566,,Scanner,
D0673567,,"Docking station for a tablet computer",
D0673568,,"Docking station",
D0673569,,Case,
D0673570,,"Server drive tray",
D0673571,,Stand,
D0673572,,"Stand and portable display device",
D0673573,,"Tablet handle and stand",
D0673574,,"Portable keyboard",
D0673575,,"Data accessing device",
D0673576,,"Data accessing device",
D0673577,,"Display screen portion having a graphical user interface for patient monitoring",
D0673578,,"Display screen portion having a graphical user interface for patient monitoring",
D0673579,,"Computing device with computer generated icon",
D0673580,,"Computing device with computer generated icon",
D0673581,,"Display screen portion with icon",
D0673582,,"Display screen or portion thereof with boombox icon",
D0673583,,"Display screen or portion thereof with icon",
D0673584,,"Compressor cover for automobiles",
D0673585,,"Cap for air compressor",
D0673586,,"Combined sprayer and spreader with sulky",
D0673587,,"Liquid storage tank for sprayer and spreader assembly",
D0673588,,"Cold air discharge duct for kimchi refrigerators",
D0673589,,Refrigerator,
D0673590,,"Crusher mantle",
D0673591,,"Optical disc restoration machine",
D0673592,,"Pipe milling machine",
D0673593,,"Operating handwheel for machines",
D0673594,,"Nozzle for applying adhesive to strands",
D0673595,,"Speed reducer base",
D0673596,,"Hydraulic axial piston machine",
D0673597,,"Optic device securing structure",
D0673598,,"Optic device securing structure",
D0673599,,Sunglasses,
D0673600,,Eyeglasses,
D0673601,,"Stringed musical instrument",
D0673602,,"Rotary screen printer",
D0673603,,Printer,
D0673604,,"Button for a printer",
D0673605,,"Print head",
D0673606,,"Interactive electronic card with display and buttons",
D0673607,,Pocket,
D0673608,,"Business card package",
D0673609,,"Book end",
D0673610,,Pen,
D0673611,,"Pencil sharpener",
D0673612,,"Label insert for divider sheet",
D0673613,,"Label for a container",
D0673614,,"Label for a container",
D0673615,,"Label for an oral care product",
D0673616,,"Label for an oral care product",
D0673617,,"Capture game apparatus",
D0673618,,"Video game console accessory protective cover",
D0673619,,"Gaming device",
D0673620,,"User interface for a gaming machine",
D0673621,,"Gaming machine",
D0673622,,"Gaming machine top display",
D0673623,,Cycle,
D0673624,,"Toy car",
D0673625,,"Toy gun",
D0673626,,"Exercise device",
D0673627,,"Promotion golf tee",
D0673628,,"Pool cue shaft",
D0673629,,"Iron golf club head",
D0673630,,"Golf club head",
D0673631,,"Golf club head",
D0673632,,"Golf club head",
D0673633,,"Golf club head",
D0673634,,"Golf club head",
D0673635,,"Putting cup",
D0673636,,"Flotation device",
D0673637,,"Illusion apparatus",
D0673638,,"Light mount for a firearm",
D0673639,,Baton,
D0673640,,Mousetrap,
D0673641,,"Insect trap",
D0673642,,"Insect trap",
D0673643,,"Fishing line bite indicator",
D0673644,,"Tank and cap assembly for a sprayer",
D0673645,,"Pump and tank assembly for a hand-operated sprayer",
D0673646,,"Fluid distribution equipment",
D0673647,,"Filter assembly",
D0673648,,"Compressed air-pistol",
D0673649,,"Ring-shaped wall mount showerhead",
D0673650,,"Handheld shower",
D0673651,,Faucet,
D0673652,,Faucet,
D0673653,,"Faucet set",
D0673654,,"Set of valve covers with coil brackets",
D0673655,,"Support stand for a hollow fiber membrane module",
D0673656,,"Bathtub overflow drain cover",
D0673657,,"Fluted drop tee",
D0673658,,"Hose bridge",
D0673659,,"Shower enclosure and portions thereof",
D0673660,,Sink,
D0673661,,"Sanitary installations",
D0673662,,"Toilet seat protector",
D0673663,,"Display cabinet",
D0673664,,Firebox,
D0673665,,Dehumidifier,
D0673666,,Dispenser,
D0673667,,"Cooling tower fan motor",
D0673668,,"Ventilator channel",
D0673669,,"Support for respiratory mask",
D0673670,,"Puncture cannula",
D0673671,,"Sanitary towel",
D0673672,,"Feminine pad with recessed structure",
D0673673,,"Transparent Y-type of intravenous drip infusion set",
D0673674,,"Medical stopcock",
D0673675,,"Syringe plunger rod",
D0673676,,Handle,
D0673677,,"Fibrotic band interrupter and implant introducing device",
D0673678,,Lancet,
D0673679,,Lancet,
D0673680,,"Molecular imaging cardiac scanner",
D0673681,,"Metabolic scanner",
D0673682,,"Metabolic scanner",
D0673683,,"Medical device",
D0673684,,"Inflatable leg rest",
D0673685,,"Microwave device spacer and positioner with arcuate slot",
D0673686,,"Foot sleeve with bunion cushion",
D0673687,,"Personal vibrator",
D0673688,,"Personal vibrator",
D0673689,,"Buccal sample collector and container combined",
D0673690,,"Frame and curb box",
D0673691,,"Spiral staircase",
D0673692,,"Structural member",
D0673693,,"Molded surface of a concrete product",
D0673694,,"Molded surface of a concrete product",
D0673695,,"Molded surface of a concrete product",
D0673696,,"Pre-cast, sloped concrete roof panel",
D0673697,,"Lighting unit",
D0673698,,"Lighting fixture",
D0673699,,"LED lamp",
D0673700,,"Taillight for a vehicle",
D0673701,,Illuminator,
D0673702,,Illuminator,
D0673703,,Illuminator,
D0673704,,Illuminator,
D0673705,,Spotlight,
D0673706,,Spotlight,
D0673707,,Spotlight,
D0673708,,Flashlight,
D0673709,,"Mountable light",
D0673710,,"Light having a bendable neck",
D0673711,,"Troffer-style lighting fixture",
D0673712,,"LED lighting fixture",
D0673713,,Sconce,
D0673714,,"Table lamp",
D0673715,,"Table lamp",
D0673716,,"Table lamp",
D0673717,,"Base for lamp with supplemental extended light",
D0673718,,"Illumination device",
D0673719,,"Billboard light fixture reflector",
D0673720,,"Luminaire housing",
D0673721,,"Illumination device",
D0673722,,"Lamp base with finial",
D0673723,,"Lamp base",
D0673724,,"Lamp base",
D0673725,,"Lamp base",
D0673726,,"Lamp base",
D0673727,,"Lamp base",
D0673728,,Finial,
D0673729,,Striker,
D0673730,,"Portion of a shaving razor",
D0673731,,"Hair clipper housing",
D0673732,,Tweezers,
D0673733,,"Nail clipper clipping catcher",
D0673734,,Helmet,
D0673735,,"Disposable glove",
D0673736,,"Hook-and-loop fastener for a face mask",
D0673737,,"Wire animal containment system",
D0673738,,"Pet harness",
D0673739,,"Pet collar cover",
D0673740,,"Pet toy",
D0673741,,"Portable pet urine reservoir",
D0673742,,Dishwasher,
D0673743,,"Part of a vacuum cleaner",
D0673744,,"Digitally-operated lens surface cleaning apparatus",
D0673745,,"Cleaning sheet",
D0673746,,"Cleaning sheet",
D0673747,,"Spray mop bottle",
D0673748,,"Floor mop",
D0673749,,"Plastic handle for container",
D0673750,,"Step trash can",
D0673751,,"Press brake cart",
D0673752,,"Pool service cart",
D0673753,,"Safety bar",
D0673754,,"Shipping pallet",
D0673755,,"Coin bank",
PP023288,,"Shrub rose plant named ‘Navy Lady’",
PP023289,,"Floribunda rose plant named ‘WEKzazette’",
PP023290,,"Strawberry plant named ‘PS-1.125’",
PP023291,,"Strawberry plant named ‘PS-3.108’",
PP023292,,"plant named ‘Beautiful Bride’",
PP023293,,"plant named ‘FGDIP1RV’",
PP023294,,"Veronica plant named ‘Alllord’",
PP023295,,"plant named ‘Angelic Charm’",
PP023296,,"plant named ‘Bonpriho’",
PP023297,,"plant named ‘Suntapiripi’",
PP023298,,"plant named ‘HDW79’",
PP023299,,"plant named ‘HDPU165’",
PP023300,,"plant named ‘HDRF155’",
PP023301,,"plant named ‘Don Nando’",
PP023302,,"plant named ‘Grace’",
PP023303,,"plant named ‘Fipetred’",
PP023304,,"plant named ‘KLEOE10180’",
PP023305,,"plant named ‘White Star’",
PP023306,,"plant named ‘Delilah’",
PP023307,,"plant named ‘Casca11’",
PP023308,,"plant named ‘Vienna’",
PP023309,,"plant named ‘Peach Crisp’",
PP023310,,"plant named ‘Balyricsil’",
PP023311,,"plant named ‘Nonel’",
PP023312,,"plant named ‘Nonot’",
PP023313,,"plant named ‘Nonof’",
RE043884,,"Apparatus for precision steeling/conditioning of knife edges",
RE043885,,"Practice drumhead assembly",
RE043886,,"Apparatus for connecting a respiratory device with a patient",
RE043887,,"Conveyor carousel with distributed drive system",
RE043888,,"Bank deposit method",
RE043889,,"Diffraction grating coupled infrared photodetector",
RE043890,,"LED light module and series connected light modules",
RE043891,,"Multi sensor detection, stall to stop and lock disabling system",
RE043892,,"Image inputting apparatus and image forming apparatus using four-line sensor",
RE043893,,"Method and communication system for identifying calling/called party",
RE043894,,"Method and apparatus for segmenting small structures in images",
RE043895,,"Scanning apparatus and method",
RE043896,,"Image and video indexing scheme for content analysis",
RE043897,,"Recording and reproducing apparatus",
RE043898,,"Altered antibodies and their preparation",
RE043899,,"Compositions and methods for treating cancer using immunoconjugates and chemotherapeutic agents",
RE043900,,"Procedure for an examination of objects by the means of ultrasound waves",
RE043901,,"Apparatus for controlling thermal dosing in a thermal treatment system",
RE043902,,"Vascular device for emboli, thrombus and foreign body removal and methods of use",
RE043903,,"Severe weather detector and alarm",
RE043904,,"Medical benefits payment system",
RE043905,,"Flow designer for establishing and maintaining assignment and strategy process maps",
RE043906,,"Method and apparatus for securing digital assets",
RE043907,,"Radio transmission method and radio transmission device",
08341762,,"Safety vest assembly including a high reliability communication system",
08341763,,"Reinforcing element",
08341764,,"Calf protector for rowers",
08341765,,"Garment for training swimmers",
08341766,,Jacket,
08341767,,"Protective glove having contoured wrist guard",
08341768,,"Surgical garment with means for affixing a glove thereto",
08341769,,"Garment having roll-up and stow sleeves",
08341770,,"Cervical spine protection apparatus and methods of use",
08341771,,"Opening/closing apparatus and helmet including the same",
08341772,,"Workout garment",
08341773,,"System for flushing a vacuum toilet and toilet cover for a system of this type",
08341774,,"Vertically sliding enclosure containing three-slidable glass panel assemblies for bathtub/shower combinations",
08341775,,"Adjustable curved double curtain rod shower assembly",
08341776,,"Adjustable leg rest assembly",
08341777,,"Hospital bed having caster braking alarm",
08341778,,"Bed gap filler and footboard pad",
08341779,,"Retractable foot caster supports",
08341780,,"Stabilized ornamental pillow",
08341781,,"Multiple use child containment assembly",
08341782,,"Baby support device",
08341783,,"Baby change mat",
08341784,,"Apparatuses and methods for automatic pillow adjustment",
08341785,,"Individual crib rail bumper",
08341786,,"Apparatuses and methods providing variable support and variable comfort control of a sleep system and automatic adjustment thereof",
08341787,,"Drum type washing machine having ball balancers and controlling method of the same",
08341788,,"Method for constructing precast coping for bridge",
08341789,,"Pool cleaning robot",
08341790,,"Drive system for a toothbrush using a flexible membrane for cleaning teeth",
08341791,,"Electric toothbrush",
08341792,,"Brush head for a toothbrush and method for producing the brush head",
08341793,,"Apparatus for cleaning floor surfaces",
08341794,,"Trailer hitch receiver and cleaning device combination",
08341795,,Mop,
08341796,,"Personal hygiene device with extending handle and disposable wipe",
08341797,,"Mop swab holder",
08341798,,"Expandable supports for paint roller covers",
08341799,,"Multifunction wiper blade connector and assembly",
08341800,,"Break-away wiper extension for VEE windows",
08341801,,"Windscreen wiper device",
08341802,,"Robot cleaner",
08341803,,"Floor cleaning attachment",
08341804,,Grommet,
08341805,,"Hinge assembly for foldable electronic device",
08341806,,"Step stool, hinge and method",
08341807,,"Mounting device for producing an all-steel card clothing",
08341808,,Clip,
08341809,,"Zipper arrangement with funnel grip",
08341810,,"Fastening or mounting apparatus",
08341811,,"Snap ring for fishing implements",
08341812,,"Cremated remains memorial container with picture frame",
08341813,,"Hinge locator device",
08341814,,"Methods for manufacturing piezoelectric devices",
08341815,,"Method for manufacturing laminated electronic component",
08341816,,"Tool for disconnecting an air-hose coupler",
08341817,,"Disassembling tool having two cams",
08341818,,"Nail removal tool",
08341819,,"Thermal processing system and method of using",
08341820,,"Composite pipe",
08341821,,"Fall restraint equipment components and method for manufacturing the same",
08341822,,"Ground connector",
08341823,,"Method for connecting a head window to a frame",
08341824,,"Method for manufacturing circumferentially deploying type of stator coil",
08341825,,"Method for manufacturing a thermally-assisted magnetic head",
08341826,,"Method for fabricating a magnetic recording transducer using a split seed layer",
08341827,,"Device for placing a component on a substrate",
08341828,,"Thin foil semiconductor package",
08341829,,"Taut sheath splicing apparatus",
08341830,,"Quick circuit board press-mount device",
08341831,,"Removing tool and method using same",
08341832,,"Method to create an enclosure for an electronic device",
08341833,,"Method for manufacturing printed wiring board",
08341834,,"Method of producing a land grid array (LGA) interposer structure",
08341835,,"Buildup dielectric layer having metallization pattern semiconductor package fabrication method",
08341836,,"Manufacturing method of an airtight container",
08341837,,"Modular power distribution and control system",
08341838,,"Method of installing a coaxial cable into an electrical connector",
08341839,,"Method for producing terminals",
08341840,,"Method of repairing bearing of wind turbine generator",
08341841,,"Method for machining components of a gas turbine and composite material",
08341842,,"Method of manufacturing heat sink",
08341843,,"Method for manufacturing wheel supporting rolling bearing unit and method for inspecting double row rolling bearing unit",
08341844,,"Manufacturing method of an outer ring for a bearing unit",
08341845,,"Hair-clipping device",
08341846,,"Hair clippers with electrically adjustable blades",
08341847,,"Rotary cutter for mower",
08341848,,"Method and apparatus for vehicle service system optical target assembly",
08341849,,"Method for operating a display device driven by at least one stepping motor",
08341850,,"Apparatus for measuring anatomic angles",
08341851,,"Railroad switch signaling device",
08341852,,"Arrangement and method for generating a reference impulse for a position measuring device",
08341853,,"Drying apparatus",
08341854,,"Vacuum freeze-drying apparatus and method for vacuum freeze drying",
08341855,,"Spinning shoe",
08341856,,"Footwear with orthotic midsole",
08341857,,"Fluid-filled chamber with a reinforced surface",
08341858,,"Video device and method",
08341859,,"System for mounting a tower display",
08341860,,"Sign post comprising composite material",
08341861,,"Display structure and support body",
08341862,,"Greeting card display systems",
08341863,,"Barrel holder for a drop-down barrel weapon",
08341864,,"Vertical fore grip with bipod",
08341865,,"Vertical fore grip with bipod",
08341866,,"Flip attachment adapters, devices, systems and methods for firearms",
08341867,,"Cheek support apparatus",
08341868,,"Stock for a small arms weapon",
08341869,,"Apparatus for controlling the release of a tip-up signal indicator for a trap",
08341870,,"Swimming frog lure and method",
08341871,,"Fishing bobbers",
08341872,,"Magnetic slip bobber",
08341873,,"Portable insect trap",
08341874,,"Pest control device with glueboard guide",
08341875,,"Aquatic snail trap, bait, and method of use thereof",
08341876,,"Enriching the seed quality of a batch of seeds",
08341877,,"Operation and control of V-trough photobioreactor systems",
08341878,,"Zip tree tie",
08341879,,"Modified plant supporting structure",
08341880,,"Root evaluation",
08341881,,"Hydration maintenance apparatus and method",
08341882,,"Plant package having a decorative covering",
08341883,,"Sleeve with angular arcuate lower end",
08341884,,"Modular container system",
08341885,,"Door control system with obstacle detection",
08341886,,"Gate assembly",
08341887,,"Plantation fan top window shutter",
08341888,,"Enclosed powered gate post",
08341889,,"Coupling apparatus for barrier assemblies and related methods",
08341890,,"Dual channel cable drive window lift system",
08341891,,"Stackable rain gutter filter adapted for tooless installation",
08341892,,"Structure for awnings, arbours and the like",
08341893,,"Seismic coupler",
08341894,,"Active transparent or translucent enclosures with energy control capacity",
08341895,,"Mounting device for solar modules having a large aspect ratio",
08341896,,"Modular floor tile with resilient support members",
08341897,,"Pitch pocket assembly",
08341898,,"Modular log assembly system",
08341899,,Cafe,
08341900,,"Structure for mounting on a building wall frames for holding panels such as photovoltaic panels",
08341901,,"Curtain wall system and method",
08341902,,"Multi-story buildings from prefabricated concrete components",
08341903,,"Connecting device for a separation element and separation element",
08341904,,"Fixing system for skirting",
08341905,,"Positioning plate for foundation anchor bolt",
08341906,,"Monopole tower and wind turbine generator having monopole tower",
08341907,,"Structurally reinforced modular buildings",
08341908,,"Fire and water resistant expansion and seismic joint system",
08341909,,"Profiled rail system",
08341910,,"Insulating floor underlayment",
08341911,,"Insulating floor underlayment",
08341912,,"Decorative plastic batten shutter",
08341913,,"Ceiling suspension system",
08341914,,"Mechanical locking of floor panels with a flexible bristle tongue",
08341915,,"Mechanical locking of floor panels with a flexible tongue",
08341916,,"Process for sealing of a joint",
08341917,,"Anchoring system for a roof panel system",
08341918,,"System and method for erecting a tower",
08341919,,"Core component and door comprising thereof",
08341920,,"Metal door",
08341921,,"Floor system with steel joists having openings with edge reinforcements and method",
08341922,,"Machine for filling vials",
08341923,,"Packaging window coverings",
08341924,,"Method and an apparatus for sterilising packages",
08341925,,"Method of packing a food product with extended shelf-life",
08341926,,"Self-propelled harvesting machine with hydropneumatic dampening system",
08341927,,"Crop harvesting header with rotary disks and impellers for transferring the crop inwardly to a discharge opening",
08341928,,"Draper assembly with rollers and a draper belt support panel for a flexible draper header",
08341929,,"Belt guard crop dam for flexible draper header",
08341930,,"Rope structure with improved bending fatigue and abrasion resistance characteristics",
08341931,,"Lift-driving engagement chain",
08341932,,"Rotary air valve firing patterns for resonance detuning",
08341933,,"Method for cooling rocket engines",
08341934,,"Infrared suppression system with spiral septum",
08341935,,"Internal mixing of a portion of fan exhaust flow and full core exhaust flow in aircraft turbofan engines",
08341936,,"Advanced exhaust-gas sampler for exhaust sensor",
08341937,,"Diagnostic apparatus for an exhaust gas purification system of an internal combustion engine, an exhaust gas purification system and a diagnostic method thereof",
08341938,,"Method for determining the instant at which a nitrogen oxide storage catalyst is switched from the storage phase to the regeneration phase and for diagnosing the storage properties of this catalyst",
08341939,,"Purification system for variable post injection in LP EGR and control method for the same",
08341940,,"Addition-amount controller for exhaust gas purifying agent and exhaust emission control system",
08341941,,"Exhaust purification device of internal combustion engine",
08341942,,"Method for providing ammonia for the selective catalytic reduction of nitrogen oxides and corresponding device",
08341943,,"Exhaust gas purification method and exhaust gas purification system",
08341944,,"Method for adjusting the metered quantity of reducing agent for selective catalytic reduction",
08341945,,"Electrically heated particulate filter",
08341946,,"Exhaust-gas aftertreatment system",
08341947,,"System and method for regenerating a particulate filter",
08341948,,"Apparatus and method for cooling an exhaust gas",
08341949,,"After-treatment system",
08341950,,"Engine exhaust system having a thermoelectric conversion device and a heat pipe",
08341951,,"Vehicle exhaust heat recovery with multiple coolant heating modes and method of managing exhaust heat recovery",
08341952,,"Exhaust manifold",
08341953,,"Exhaust manifold",
08341954,,"Hydrodynamic coupling",
08341955,,"Hydraulic drive and control system for pumps using a charge pump",
08341956,,"Hydraulic fluid supply device and electric actuator",
08341957,,"Portable wave-swash and coastal-wind energy harvester",
08341958,,"Shape memory alloy actuated device",
08341959,,"Heat engine using solar energy",
08341960,,"Multi-heat source power plant",
08341961,,"Solar desalination system",
08341962,,"Biasing working fluid flow",
08341963,,"Valve control unit for ramjet propulsion system as well as guided missile having such a valve control unit",
08341964,,"System and method of using a compressed air storage system with a gas turbine",
08341965,,"Method and system for cooling",
08341966,,"Climate control device",
08341967,,"Heat-dissipating device for supplying cold airflow",
08341968,,"Heat exchanger, particularly for use in a beverage dispenser",
08341969,,"Absorptive heat pump systems and heating method",
08341970,,"Refrigeration equipment with control system and device for controlling defrosting operation",
08341971,,"Air conditioning control device for vehicle",
08341972,,"Drive control apparatus and method for refrigerator type fan motor",
08341973,,"Optimizer for single staged refrigeration systems",
08341974,,"Refrigerator and method of controlling the same",
08341975,,"Water dispenser",
08341976,,"Method of separating strengthened glass",
08341977,,"Multifunctional group for a glass items forming machine",
08341978,,"Method of manufacturing high performance glass fibers in a refractory lined melter and fiber formed thereby",
08341979,,"Method of heat treating a porous optical fiber preform",
08341980,,"Integrated multiaxial articles: method, apparatus and fabrics",
08341981,,"Washing machine",
08341982,,"Detergent supply apparatus and washing machine",
08341983,,"Drum-type washing machine",
08341984,,"Estimating velocities with uncertainty",
08341985,,"Security device for ring products",
08341986,,"Key box construction",
08341987,,"Security device for attaching a peg hook to a peg support",
08341988,,"Magnet activated security system",
08341989,,"Key fob with retractable key blank",
08341990,,"Cutting and/or forming plate workpieces",
08341991,,"Manufacturing method and manufacturing apparatus for twisted flat bar",
08341992,,"Roller hemming with in-situ adhesive curing",
08341993,,"Coil spring forming apparatus and coil spring formed thereby",
08341994,,"Rolling mill stand and related rolling mill for longitudinally rolling rod-shaped bodies",
08341995,,"Method for making can bodies having axial ribs and step shoulder bottoms",
08341996,,"Method and deep-drawing apparatus for the deep drawing of metal sheets",
08341997,,"Method of forging bevel gear",
08341998,,"Forming apparatus and forming method",
08341999,,"Terminal and method for producing the same",
08342000,,"Servo-press machine",
08342001,,"Crimping/cutting working head for impact wrench",
08342002,,"Inspection apparatus for sensor element, and method for inspecting electrical characteristics of sensor element",
08342003,,"Systems and methods for measurement and analysis of pipeline contaminants",
08342004,,"Gas analyzer",
08342005,,"Micro-optical-mechanical system photoacoustic spectrometer",
08342006,,"Method and device for detecting and/or quantifying water leaks",
08342007,,"Electrochemical detection cell for liquid chromatography system",
08342008,,"Scanning probe microscope",
08342009,,"Method for determining steampath efficiency of a steam turbine section with internal leakage",
08342010,,"Surge precursor protection systems and methods",
08342011,,"Method for determining a value representative of the pressure in a combustion chamber of an internal combustion engine",
08342012,,"Method for performing diagnostics on line systems of internal combustion engines",
08342013,,"Oil-degradation determination apparatus",
08342015,,"Method for diagnosing the exchanger bypass flap in an exhaust gas recirculation circuit",
08342016,,"Method for evaluating the transversal grip of a tire on a snow covered ground",
08342017,,"Methods for fabricating fiber-reinforced plastic test specimen assemblies having weak adhesive bonds",
08342018,,"High accuracy battery-operated MEMS mass flow meter",
08342019,,"Exhaust gas analyzer and probe unit",
08342020,,"Tire testing machine and tire testing method",
