patent,kind,claims,apptype,appnum,gdate,appdate
D0673508,S1,1,,29397326,20130101,20110714
D0673509,S1,1,,29411541,20130101,20120123
D0673510,S1,1,,29394737,20130101,20110621
D0673511,S1,1,,29404486,20130101,20111021
D0673512,S1,1,,29414319,20130101,20120227
D0673513,S1,1,,29406667,20130101,20111117
D0673514,S1,1,,29410979,20130101,20120113
D0673515,S1,1,,29385795,20130101,20110218
D0673516,S1,1,,29372977,20130101,20110211
D0673517,S1,1,,29417393,20130101,20120403
D0673518,S1,1,,29401320,20130101,20110909
D0673519,S1,1,,29401322,20130101,20110909
D0673520,S1,1,,29401324,20130101,20110909
D0673521,S1,1,,29410173,20130101,20120105
D0673522,S1,1,,29421172,20130101,20120606
D0673523,S1,1,,29407629,20130101,20111130
D0673524,S1,1,,29407631,20130101,20111130
D0673525,S1,1,,29371662,20130101,20110628
D0673526,S1,1,,29410858,20130101,20120112
D0673527,S1,1,,29400353,20130101,20110826
D0673528,S1,1,,29405482,20130101,20111102
D0673529,S1,1,,29347906,20130101,20100722
D0673530,S1,1,,29405992,20130101,20111108
D0673531,S1,1,,29407872,20130101,20111202
D0673532,S1,1,,29410527,20130101,20120109
D0673533,S1,1,,29379506,20130101,20101119
D0673534,S1,1,,29414819,20130101,20120305
D0673535,S1,1,,29423669,20130101,20120604
D0673536,S1,1,,29370338,20130101,20100702
D0673537,S1,1,,29416434,20130101,20120322
D0673538,S1,1,,29430711,20130101,20120829
D0673539,S1,1,,29388373,20130101,20110328
D0673540,S1,1,,29388930,20130101,20110404
D0673541,S1,1,,29388940,20130101,20110404
D0673542,S1,1,,29390209,20130101,20110421
D0673543,S1,1,,29397175,20130101,20110712
D0673544,S1,1,,29397177,20130101,20110712
D0673545,S1,1,,29398524,20130101,20110801
D0673546,S1,1,,29398566,20130101,20110802
D0673547,S1,1,,29402657,20130101,20110926
D0673548,S1,1,,29404931,20130101,20111026
D0673549,S1,1,,29405044,20130101,20111027
D0673550,S1,1,,29416089,20130101,20120319
D0673551,S1,1,,29416100,20130101,20120319
D0673552,S1,1,,29416109,20130101,20120319
D0673553,S1,1,,29417067,20130101,20120329
D0673554,S1,1,,29422180,20130101,20120517
D0673555,S1,1,,29382478,20130101,20110104
D0673556,S1,1,,29414594,20130101,20120301
D0673557,S1,1,,29425513,20130101,20120623
D0673558,S1,1,,29425514,20130101,20120623
D0673559,S1,1,,29410244,20130101,20120105
D0673560,S1,1,,29371622,20130101,20110531
D0673561,S1,1,,29396045,20130101,20110624
D0673562,S1,1,,29385207,20130101,20110210
D0673563,S1,1,,29418404,20130101,20120416
D0673564,S1,1,,29316074,20130101,20090821
D0673565,S1,1,,29404710,20130101,20111025
D0673566,S1,1,,29404712,20130101,20111025
D0673567,S1,1,,29395334,20130101,20120103
D0673568,S1,1,,29410650,20130101,20120110
D0673569,S1,1,,29391431,20130101,20110509
D0673570,S1,1,,29391397,20130101,20110507
D0673571,S1,1,,29391723,20130101,20110512
D0673572,S1,1,,29392465,20130101,20110520
D0673573,S1,1,,29422188,20130101,20120517
D0673574,S1,1,,29406093,20130101,20111109
D0673575,S1,1,,29402510,20130101,20110923
D0673576,S1,1,,29397775,20130101,20110720
D0673577,S1,1,,29403822,20130101,20111011
D0673578,S1,1,,29403823,20130101,20111011
D0673579,S1,1,,29400570,20130101,20110830
D0673580,S1,1,,29400574,20130101,20110830
D0673581,S1,1,,29387373,20130101,20110311
D0673582,S1,1,,29393968,20130101,20110610
D0673583,S1,1,,29393973,20130101,20110610
D0673584,S1,1,,29399538,20130101,20110816
D0673585,S1,1,,29373421,20130101,20110406
D0673586,S1,1,,29420968,20130101,20120515
D0673587,S1,1,,29420986,20130101,20120515
D0673588,S1,1,,29407350,20130101,20111128
D0673589,S1,1,,29409406,20130101,20111222
D0673590,S1,1,,29378063,20130101,20101028
D0673591,S1,1,,29422276,20130101,20120518
D0673592,S1,1,,29426801,20130101,20120711
D0673593,S1,1,,29404687,20130101,20111024
D0673594,S1,1,,29424938,20130101,20120618
D0673595,S1,1,,29422979,20130101,20120525
D0673596,S1,1,,29371087,20130101,20101015
D0673597,S1,1,,29426878,20130101,20120711
D0673598,S1,1,,29426880,20130101,20120711
D0673599,S1,1,,29423106,20130101,20120529
D0673600,S1,1,,29394493,20130101,20110617
D0673601,S1,1,,29420846,20130101,20120514
D0673602,S1,1,,29409975,20130101,20111230
D0673603,S1,1,,29416893,20130101,20120328
D0673604,S1,1,,29380084,20130101,20101130
D0673605,S1,1,,29418610,20130101,20120418
D0673606,S1,1,,29430546,20130101,20120827
D0673607,S1,1,,29379654,20130101,20101122
D0673608,S1,1,,29414964,20130101,20120306
D0673609,S1,1,,29424809,20130101,20120615
D0673610,S1,1,,29403968,20130101,20111013
D0673611,S1,1,,29400690,20130101,20110831
D0673612,S1,1,,29371631,20130101,20110610
D0673613,S1,1,,29396234,20130101,20110628
D0673614,S1,1,,29396235,20130101,20110628
D0673615,S1,1,,29403684,20130101,20111010
D0673616,S1,1,,29403686,20130101,20111010
D0673617,S1,1,,29402760,20130101,20110927
D0673618,S1,1,,29392854,20130101,20110527
D0673619,S1,1,,29400001,20130101,20110822
D0673620,S1,1,,29402578,20130101,20110923
D0673621,S1,1,,29402581,20130101,20110923
D0673622,S1,1,,29400165,20130101,20110824
D0673623,S1,1,,29393654,20130101,20110607
D0673624,S1,1,,29398633,20130101,20110802
D0673625,S1,1,,29397529,20130101,20110718
D0673626,S1,1,,29397675,20130101,20110719
D0673627,S1,1,,29374957,20130101,20111101
D0673628,S1,1,,29409258,20130101,20111221
D0673629,S1,1,,29411227,20130101,20120118
D0673630,S1,1,,29423611,20130101,20120601
D0673631,S1,1,,29409222,20130101,20111221
D0673632,S1,1,,29423612,20130101,20120601
D0673633,S1,1,,29425311,20130101,20120621
D0673634,S1,1,,29425407,20130101,20120622
D0673635,S1,1,,29410818,20130101,20120112
D0673636,S1,1,,29410991,20130101,20120113
D0673637,S1,1,,29373394,20130101,20110404
D0673638,S1,1,,29398471,20130101,20110801
D0673639,S1,1,,29420361,20130101,20120508
D0673640,S1,1,,29412906,20130101,20120209
D0673641,S1,1,,29408846,20130101,20111216
D0673642,S1,1,,29408848,20130101,20111216
D0673643,S1,1,,29389404,20130101,20110411
D0673644,S1,1,,29395282,20130101,20111229
D0673645,S1,1,,29416758,20130101,20120327
D0673646,S1,1,,29394374,20130101,20110616
D0673647,S1,1,,29404091,20130101,20111014
D0673648,S1,1,,29391621,20130101,20110511
D0673649,S1,1,,29426318,20130101,20120703
D0673650,S1,1,,29417961,20130101,20120411
D0673651,S1,1,,29405279,20130101,20111031
D0673652,S1,1,,29405287,20130101,20111031
D0673653,S1,1,,29405281,20130101,20111031
D0673654,S1,1,,29359263,20130101,20100408
D0673655,S1,1,,29385729,20130101,20110218
D0673656,S1,1,,29372731,20130101,20110104
D0673657,S1,1,,29395947,20130101,20120426
D0673658,S1,1,,29405783,20130101,20111107
D0673659,S1,1,,29410600,20130101,20120110
D0673660,S1,1,,29403202,20130101,20111003
D0673661,S1,1,,29430144,20130101,20120822
D0673662,S1,1,,29395853,20130101,20120411
D0673663,S1,1,,29367013,20130101,20100802
D0673664,S1,1,,29426017,20130101,20120629
D0673665,S1,1,,29392924,20130101,20110527
D0673666,S1,1,,29406978,20130101,20111121
D0673667,S1,1,,29378590,20130101,20101105
D0673668,S1,1,,29355181,20130101,20100203
D0673669,S1,1,,29371012,20130101,20100913
D0673670,S1,1,,29411442,20130101,20120120
D0673671,S1,1,,29400288,20130101,20110825
D0673672,S1,1,,29414851,20130101,20120305
D0673673,S1,1,,29371688,20130101,20110711
D0673674,S1,1,,29419835,20130101,20120502
D0673675,S1,1,,29405694,20130101,20111104
D0673676,S1,1,,29424810,20130101,20120615
D0673677,S1,1,,29408564,20130101,20111214
D0673678,S1,1,,29377217,20130101,20101019
D0673679,S1,1,,29377225,20130101,20101019
D0673680,S1,1,,29379689,20130101,20101123
D0673681,S1,1,,29379744,20130101,20101123
D0673682,S1,1,,29379750,20130101,20101123
D0673683,S1,1,,29369905,20130101,20100915
D0673684,S1,1,,29418921,20130101,20120423
D0673685,S1,1,,29369382,20130101,20100908
D0673686,S1,1,,29408395,20130101,20111212
D0673687,S1,1,,29403206,20130101,20111003
D0673688,S1,1,,29403208,20130101,20111003
D0673689,S1,1,,29409340,20130101,20111222
D0673690,S1,1,,29410618,20130101,20120110
D0673691,S1,1,,29392782,20130101,20110526
D0673692,S1,1,,29417130,20130101,20120330
D0673693,S1,1,,29395232,20130101,20111220
D0673694,S1,1,,29395233,20130101,20111220
D0673695,S1,1,,29395652,20130101,20120305
D0673696,S1,1,,29374690,20130101,20110922
D0673697,S1,1,,29383042,20130101,20110111
D0673698,S1,1,,29415685,20130101,20120313
D0673699,S1,1,,29424962,20130101,20120618
D0673700,S1,1,,29371336,20130101,20110106
D0673701,S1,1,,29407254,20130101,20111125
D0673702,S1,1,,29407261,20130101,20111125
D0673703,S1,1,,29407259,20130101,20111125
D0673704,S1,1,,29407260,20130101,20111125
D0673705,S1,1,,29411329,20130101,20120119
D0673706,S1,1,,29411589,20130101,20120124
D0673707,S1,1,,29411597,20130101,20120124
D0673708,S1,1,,29405877,20130101,20111108
D0673709,S1,1,,29405182,20130101,20111031
D0673710,S1,1,,29405211,20130101,20111031
D0673711,S1,1,,29387171,20130101,20110309
D0673712,S1,1,,29404317,20130101,20111019
D0673713,S1,1,,29399876,20130101,20110819
D0673714,S1,1,,29397707,20130101,20110720
D0673715,S1,1,,29402764,20130101,20110927
D0673716,S1,1,,29413635,20130101,20120217
D0673717,S1,1,,29403358,20130101,20111005
D0673718,S1,1,,29405995,20130101,20111109
D0673719,S1,1,,29406747,20130101,20111118
D0673720,S1,1,,29376480,20130101,20101007
D0673721,S1,1,,29398126,20130101,20110726
D0673722,S1,1,,29425251,20130101,20120621
D0673723,S1,1,,29425202,20130101,20120620
D0673724,S1,1,,29425207,20130101,20120620
D0673725,S1,1,,29425211,20130101,20120620
D0673726,S1,1,,29425226,20130101,20120620
D0673727,S1,1,,29425253,20130101,20120621
D0673728,S1,1,,29425255,20130101,20120621
D0673729,S1,1,,29402105,20130101,20110921
D0673730,S1,1,,29432389,20130101,20120914
D0673731,S1,1,,29397517,20130101,20110718
D0673732,S1,1,,29384054,20130101,20110126
D0673733,S1,1,,29395412,20130101,20120117
D0673734,S1,1,,29404755,20130101,20111025
D0673735,S1,1,,29400677,20130101,20110831
D0673736,S1,1,,29410050,20130101,20120103
D0673737,S1,1,,29402485,20130101,20110923
D0673738,S1,1,,29366630,20130101,20100728
D0673739,S1,1,,29370718,20130101,20100825
D0673740,S1,1,,29401641,20130101,20110913
D0673741,S1,1,,29419675,20130101,20120430
D0673742,S1,1,,29425993,20130101,20120629
D0673743,S1,1,,29388242,20130101,20110325
D0673744,S1,1,,29405814,20130101,20111107
D0673745,S1,1,,29424686,20130101,20120614
D0673746,S1,1,,29425072,20130101,20120620
D0673747,S1,1,,29420841,20130101,20120514
D0673748,S1,1,,29387050,20130101,20110308
D0673749,S1,1,,29400545,20130101,20110830
D0673750,S1,1,,29404914,20130101,20111026
D0673751,S1,1,,29406820,20130101,20111118
D0673752,S1,1,,29411417,20130101,20120120
D0673753,S1,1,,29391313,20130101,20110506
D0673754,S1,1,,29398898,20130101,20110805
D0673755,S1,1,,29339901,20130101,20090709
PP023288,P2,1,,12799312,20130101,20100422
PP023289,P2,1,,13317757,20130101,20111027
PP023290,P2,1,,13137805,20130101,20110914
PP023291,P2,1,,13137804,20130101,20110914
PP023292,P3,1,,12930893,20130101,20110119
PP023293,P2,1,,13134170,20130101,20110531
PP023294,P2,1,,13199168,20130101,20110822
PP023295,P2,1,,13200414,20130101,20110922
PP023296,P2,1,,13136895,20130101,20110812
PP023297,P2,1,,13065247,20130101,20110317
PP023298,P2,1,,12932394,20130101,20110224
PP023299,P2,1,,12932409,20130101,20110224
PP023300,P2,1,,12932395,20130101,20110224
PP023301,P2,1,,13200527,20130101,20110923
PP023302,P2,1,,13134380,20130101,20110606
PP023303,P2,1,,13134381,20130101,20110606
PP023304,P2,1,,13135471,20130101,20110706
PP023305,P2,1,,13136893,20130101,20110812
PP023306,P2,1,,13374133,20130101,20111213
PP023307,P2,1,,13199515,20130101,20110901
PP023308,P3,1,,13066124,20130101,20110406
PP023309,P3,1,,13066144,20130101,20110406
PP023310,P2,1,,13136134,20130101,20110725
PP023311,P2,1,,13200893,20130101,20111004
PP023312,P2,1,,13200673,20130101,20110928
PP023313,P2,1,,13200871,20130101,20111004
RE043884,E1,26,,13175369,20130101,20110701
RE043885,E1,27,,13081071,20130101,20110406
RE043886,E1,20,,12931599,20130101,20110204
RE043887,E1,18,,13303458,20130101,20111123
RE043888,E1,9,,13194653,20130101,20110729
RE043889,E1,66,,11635819,20130101,20061206
RE043890,E1,15,,13267737,20130101,20111006
RE043891,E1,75,,13065837,20130101,20110331
RE043892,E1,22,,13212823,20130101,20110818
RE043893,E1,8,,12859225,20130101,20100818
RE043894,E1,20,,13314021,20130101,20111207
RE043895,E1,59,,12647319,20130101,20091224
RE043896,E1,49,,12152827,20130101,20080516
RE043897,E1,20,,12588121,20130101,20010327
RE043898,E1,19,,11493016,20130101,19910916
RE043899,E1,5,,13349078,20130101,20120112
RE043900,E1,26,,10223941,20130101,20020820
RE043901,E1,67,,11223907,20130101,20050908
RE043902,E1,9,,13162794,20130101,20110617
RE043903,E1,20,,11186013,20130101,20050721
RE043904,E1,26,,13358620,20130101,20120126
RE043905,E1,31,,11947714,20130101,20071129
RE043906,E1,37,,12331083,20130101,20081209
RE043907,E1,18,,12778678,20130101,20100512
08341762,B2,16,,12077841,20130101,20080321
08341763,B2,28,,11657400,20130101,20070124
08341764,B1,5,,12781786,20130101,20100517
08341765,B2,19,,12609340,20130101,20091030
08341766,B2,16,,12099614,20130101,20080408
08341767,B2,12,,13399681,20130101,20120217
08341768,B2,11,,12745001,20130101,20081208
08341769,B2,37,,12484167,20130101,20090612
08341770,B2,24,,12879321,20130101,20100910
08341771,B2,8,,12880687,20130101,20100913
08341772,B1,12,,12656257,20130101,20100122
08341773,B2,4,,12084943,20130101,20061116
08341774,B1,23,,13292952,20130101,20111109
08341775,B2,5,,12157376,20130101,20080610
08341776,B2,21,,12460207,20130101,20090715
08341777,B2,19,,13362780,20130101,20120131
08341778,B2,20,,13355775,20130101,20120123
08341779,B2,20,,12960960,20130101,20101206
08341780,B2,11,,11928105,20130101,20071030
08341781,B1,20,,12231895,20130101,20080905
08341782,B2,40,,13054531,20130101,20090716
08341783,B2,13,,13186841,20130101,20110720
08341784,B2,15,,12867684,20130101,20090213
08341785,B2,22,,12765201,20130101,20100422
08341786,B2,46,,12867690,20130101,20081114
08341787,B2,11,,12232819,20130101,20080924
08341788,B2,12,,12900572,20130101,20101008
08341789,B2,8,,12482129,20130101,20090610
08341790,B2,8,,11722335,20130101,20051220
08341791,B2,12,,12990308,20130101,20090601
08341792,B2,9,,11826442,20130101,20070716
08341793,B2,2,,12629688,20130101,20091202
08341794,B1,10,,11897830,20130101,20070904
08341795,B2,3,,13339579,20130101,20111229
08341796,B1,12,,12603640,20130101,20091022
08341797,B2,16,,12278576,20130101,20061011
08341798,B2,20,,12627627,20130101,20091130
08341799,B2,18,,12832134,20130101,20100708
08341800,B2,9,,13294342,20130101,20111111
08341801,B2,5,,12301561,20130101,20070514
08341802,B2,3,,13292471,20130101,20111109
08341803,B2,13,,12429633,20130101,20090424
08341804,B2,2,,13140335,20130101,20081219
08341805,B2,14,,12915038,20130101,20101029
08341806,B2,8,,11985988,20130101,20071119
08341807,B2,19,,12965108,20130101,20101210
08341808,B2,19,,12586560,20130101,20090924
08341809,B2,19,,12947665,20130101,20101116
08341810,B2,9,,12783258,20130101,20100519
08341811,B2,3,,12949547,20130101,20101118
08341812,B2,10,,13349478,20130101,20120112
08341813,B2,11,,12336059,20130101,20081216
08341814,B2,18,,13016893,20130101,20110128
08341815,B2,18,,12796688,20130101,20100609
08341816,B1,13,,12390559,20130101,20090223
08341817,B2,8,,12838488,20130101,20100718
08341818,B1,8,,12387049,20130101,20090427
08341819,B2,7,,13539446,20130101,20120701
08341820,B2,19,,12657079,20130101,20100113
08341821,B2,17,,12537842,20130101,20090807
08341822,B2,18,,12804889,20130101,20100730
08341823,B1,1,,13248264,20130101,20110929
08341824,B2,13,,12370880,20130101,20090213
08341825,B2,6,,12947091,20130101,20101116
08341826,B1,13,,12758469,20130101,20100412
08341827,B2,7,,12759478,20130101,20100413
08341828,B2,5,,12903870,20130101,20101013
08341829,B2,9,,13198766,20130101,20110805
08341830,B2,10,,13118150,20130101,20110527
08341831,B2,8,,12869892,20130101,20100827
08341832,B2,20,,13270116,20130101,20111010
08341833,B2,17,,12257326,20130101,20081023
08341834,B2,5,,12275563,20130101,20081121
08341835,B1,20,,12387691,20130101,20090505
08341836,B2,7,,12689484,20130101,20100119
08341837,B2,14,,12148771,20130101,20080422
08341838,B2,7,,12951466,20130101,20101122
08341839,B2,4,,13003921,20130101,20090714
08341840,B2,10,,12675006,20130101,20100210
08341841,B2,29,,12150985,20130101,20080502
08341842,B2,3,,12537267,20130101,20090807
08341843,B2,4,,12441093,20130101,20070914
08341844,B2,4,,12298308,20130101,20070424
08341845,B2,8,,12305106,20130101,20070615
08341846,B1,10,,12592537,20130101,20091124
08341847,B2,1,,12086392,20130101,20061220
08341848,B2,28,,12875796,20130101,20100903
08341849,B2,7,,12809202,20130101,20090604
08341850,B2,10,,12807841,20130101,20100915
08341851,B1,10,,13067684,20130101,20110621
08341852,B2,15,,13120550,20130101,20090721
08341853,B2,20,,11997309,20130101,20060607
08341854,B2,2,,12635046,20130101,20091210
08341855,B2,25,,13075075,20130101,20110329
08341856,B2,9,,13335699,20130101,20111222
08341857,B2,10,,12015026,20130101,20080116
08341858,B2,16,,13225084,20130101,20110902
08341859,B2,19,,13331364,20130101,20111220
08341860,B2,21,,12529303,20130101,20080310
08341861,B2,15,,12993364,20130101,20090803
08341862,B1,14,,12711552,20130101,20100224
08341863,B2,5,,12522328,20130101,20070118
08341864,B2,18,,12692339,20130101,20100122
08341865,B2,13,,12701157,20130101,20100205
08341866,B1,17,,13279054,20130101,20111021
08341867,B2,15,,12943915,20130101,20101110
08341868,B2,20,,13185430,20130101,20110718
08341869,B2,9,,13112683,20130101,20110520
08341870,B2,20,,13426453,20130101,20120321
08341871,B2,20,,13009061,20130101,20110119
08341872,B2,19,,12800854,20130101,20100524
08341873,B2,8,,12407285,20130101,20090319
08341874,B2,10,,12832277,20130101,20100708
08341875,B2,16,,12587342,20130101,20091006
08341876,B2,21,,13196254,20130101,20110802
08341877,B2,16,,13249426,20130101,20110930
08341878,B2,18,,13053057,20130101,20110321
08341879,B1,7,,13280612,20130101,20111025
08341880,B2,23,,11663010,20130101,20050908
08341881,B2,20,,12789177,20130101,20100527
08341882,B2,20,,13327937,20130101,20111216
08341883,B2,20,,13494378,20130101,20120612
08341884,B2,11,,12161761,20130101,20060123
08341885,B2,27,,12889099,20130101,20100923
08341886,B2,19,,12170724,20130101,20080710
08341887,B2,18,,12752523,20130101,20100401
08341888,B2,19,,13055168,20130101,20090723
08341889,B2,24,,12562743,20130101,20090918
08341890,B2,14,,12783343,20130101,20100519
08341891,B1,10,,12658106,20130101,20100202
08341892,B2,9,,12926060,20130101,20101025
08341893,B2,3,,13081455,20130101,20110406
08341894,B2,5,,12545510,20130101,20090821
08341895,B2,22,,12537416,20130101,20090807
08341896,B2,23,,13356475,20130101,20120123
08341897,B2,10,,13072269,20130101,20110325
08341898,B1,22,,13173319,20130101,20110630
08341899,B2,36,,12860630,20130101,20100820
08341900,B2,19,,12596654,20130101,20080418
08341901,B2,20,,13290553,20130101,20111107
08341902,B2,17,,13052047,20130101,20110319
08341903,B2,18,,12662762,20130101,20100503
08341904,B2,12,,12954580,20130101,20101124
08341905,B2,8,,12590207,20130101,20091104
08341906,B2,7,,12674565,20130101,20091225
08341907,B1,20,,13506288,20130101,20120409
08341908,B1,10,,12730354,20130101,20100324
08341909,B2,4,,12315033,20130101,20081126
08341910,B2,15,,13043935,20130101,20110309
08341911,B2,14,,13562694,20130101,20120731
08341912,B2,30,,12361559,20130101,20090129
08341913,B2,22,,12521193,20130101,20071211
